Frug_species;Frug_code;Frug_class;Frug_order;Frug_family;Frug_genus;Diet_fruit_prop;Body_mass;Height;Head_tail_length;Tail_length;Foot_length;Ear_length;IUCN;source
Apodemus sylvaticus;Apo.sylv;Mammalia;Rodentia;Muridae;Apodemus;0,175;25,5;NA;94,0;96,00;22,5;16,8;LC;75. Palomo, L. J., Gisbert, J., & Blanco, J. C. (Eds.). (2007). Atlas y libro rojo de los mamíferos terrestres de España. Madrid: Organismo Autónomo de Parques Nacionales.
Arvicola sapidus;Arv.sapi;Mammalia;Rodentia;Cricetidae;Arvicola;0,001;225,0;NA;200,0;123,50;35,5;17,0;VU;77. Ventura, J., Gosálbez, J. y López-Fuster, M. J. 1989. Trophic ecology of Arvicola sapidus Miller, 1908 (Rodentia, Arvicolidae) in the Ebro Delta (Spain). Zool. Anz., 223: 283-290.
Bos taurus;Bos.taur;Mammalia;Artiodactyla;Bovidae;Bos;0,025;750,0;141,5;198,5;135,00;NA;NA;LC;78. Ministerio de Agricultura, Pesca y Alimentación. https://www.mapa.gob.es/es/ganaderia/temas/zootecnia/razas-ganaderas/
Madrid. Accessed: 12 Dec 2024.
Cervus elaphus;Cer.elap;Mammalia;Artiodactyla;Cervidae;Cervus;0,175;97,5;102,5;183,8;NA;NA;NA;LC;79. Soriguer, R. C., Fandos, P., Bernáldez, E. y Delibes-Senna, J. R. 1994. El Ciervo en Andalucía. Junta de Andalucía, 244 pp.
Dama dama;Dam.dama;Mammalia;Artiodactyla;Cervidae;Dama;0,175;46,0;80,0;135,5;NA;NA;NA;LC;80. Álvarez, G. y Ramos, J. 1991. Variación estacional de la dieta de machos, hembras y crías de gamo (Dama dama) en Quintos de Mora (Montes de Toledo). Doñana, Acta Vertebrata, 18 (2): 217-236.
Eliomys quercinus;Eli.quer;Mammalia;Rodentia;Gliridae;Eliomys;0,200;82,5;NA;127,0;105,75;27,5;NA;LC;75. Palomo, L. J., Gisbert, J., & Blanco, J. C. (Eds.). (2007). Atlas y libro rojo de los mamíferos terrestres de España. Madrid: Organismo Autónomo de Parques Nacionales.
Equus caballus;Equ.caba;Mammalia;Perissodactyla;Equidae;Equus;0,175;342,0;141,5;209,5;85,00;NA;NA;LC;78. Ministerio de Agricultura, Pesca y Alimentación. https://www.mapa.gob.es/es/ganaderia/temas/zootecnia/razas-ganaderas/
Madrid. Accessed: 12 Dec 2024.
Genetta genetta;Gen.gene;Mammalia;Carnivora;Viverridae;Genetta;0,750;1,9;NA;49,2;40,80;8,5;NA;LC;81. Delibes, M. 1974. Sobre alimentación y biología de la Gineta (Genetta genetta L.) en España. Doñana, Acta Vertebrata 1 (1): 143-199.
Herpestes ichneumon;Her.ichn;Mammalia;Carnivora;Herpestidae;Herpestes;0,025;2,9;NA;50,0;40,50;91,0;3,3;LC;82. Palomares, F., & Delibes, M. (1991). Dieta del meloncillo (Herpestes ichneumon), en el Coto del Rey (Norte del Parque Nacional de Doñana, SO España).
Lepus granatensis;Lep.gran;Mammalia;Lagomorpha;Leporidae;Lepus;0,025;2,3;NA;45,7;10,20;11,6;9,9;LC;75. Palomo, L. J., Gisbert, J., & Blanco, J. C. (Eds.). (2007). Atlas y libro rojo de los mamíferos terrestres de España. Madrid: Organismo Autónomo de Parques Nacionales.
Meles meles;Mel.mele;Mammalia;Carnivora;Mustelidae;Meles;0,750;7,3;NA;66,6;15,70;10,4;NA;LC;83. Revilla, E. (1998). Organización social del tejón en Doñana. PhD thesis. León: University of León.
Mus spretus;Mus.spre;Mammalia;Rodentia;Muridae;Mus;0,025;16,5;NA;84,3;68,30;17,0;12,5;LC;75. Palomo, L. J., Gisbert, J., & Blanco, J. C. (Eds.). (2007). Atlas y libro rojo de los mamíferos terrestres de España. Madrid: Organismo Autónomo de Parques Nacionales.
Oryctolagus cuniculus;Ory.cuni;Mammalia;Lagomorpha;Leporidae;Oryctolagus;0,450;1,1;NA;34,5;NA;NA;NA;VU;84. Ferreira, C., & Alves, P. C. (2009). Influence of habitat management on the abundance and diet of wild rabbit (Oryctolagus cuniculus algirus) populations in Mediterranean ecosystems. European Journal of Wildlife Research, 55, 487-496.
Rattus rattus;Rat.ratt;Mammalia;Rodentia;Muridae;Rattus;0,175;182,5;NA;195,0;214,00;35,3;23,3;LC;76. SECEM. https://secem.es/mamiferos/atlas. SECEM 
Sus scrofa;Sus.scro;Mammalia;Artiodactyla;Suidae;Sus;0,450;70,8;75,4;134,0;18,60;NA;NA;LC;85. De Buruaga, M. S. (1995). ALIMENTACION DEL JABALI (SUS SCROFA CASTILlANUS) EN EL NORTE DE ESPAÑA. Ecología, (9), 367-386.

Vulpes vulpes;Vul.vulp;Mammalia;Carnivora;Canidae;Vulpes;0,750;6,0;NA;67,3;39,30;15,1;NA;LC;86. Díaz‐Ruiz, F., Delibes‐Mateos, M., García‐Moreno, J. L., María López‐Martín, J., Ferreira, C., & Ferreras, P. (2013). Biogeographical patterns in the diet of an opportunistic predator: the red fox Vulpes vulpes in the Iberian Peninsula. Mammal Review, 43(1), 59-70.
